author_id,created_at,text,tokens,filtered_tokens,stemmed_text,term,cluster
4_00L,2025-04-11T05:14:30.000Z,trus kita KaburAjaDulu ,"trus, kita, KaburAjaDulu","trus, KaburAjaDulu",trus kita kaburajadulu,"trus,kita,kaburajadulu",1
BGPATRA,2025-04-11T04:57:23.000Z,Parafal Headshot BocilFF diabisi #partaikorupsi #kaburajadulu #csrank https://youtu.be/NGVbkcstW9I?si=ASTAnbKCjkJCf2G3… lewat  @YouTube,"Parafal, Headshot, BocilFF, diabisi, #, partaikorupsi, #, kaburajadulu, #, csrank, https, :, //youtu.be/NGVbkcstW9I, ?, si=ASTAnbKCjkJCf2G3…, lewat, @, YouTube","Parafal, Headshot, BocilFF, diabisi, #, partaikorupsi, #, kaburajadulu, #, csrank, https, :, //youtu.be/NGVbkcstW9I, ?, si=ASTAnbKCjkJCf2G3…, @, YouTube",parafal headshot bocilff abis partaikorupsi kaburajadulu csrank https youtu be ngvbkcstw9i si astanbkcjkjcf2g3 lewat youtube,"parafal,headshot,bocilff,abis,partaikorupsi,kaburajadulu,csrank,https,youtu,be,ngvbkcstw9i,si,astanbkcjkjcf2g3,lewat,youtube",1
sxnoophy,2025-04-11T04:48:41.000Z,/kaburajadulu,/kaburajadulu,/kaburajadulu,kaburajadulu,kaburajadulu,1
KimiaHendra,2025-04-11T04:44:52.000Z,Pelaku pelanggar HAM bicara HAM. #KaburAjaDulu ke yordan,"Pelaku, pelanggar, HAM, bicara, HAM, ., #, KaburAjaDulu, ke, yordan","Pelaku, pelanggar, HAM, bicara, HAM, ., #, KaburAjaDulu, yordan",laku langgar ham bicara ham kaburajadulu ke yordan,"laku,langgar,ham,bicara,ham,kaburajadulu,ke,yordan",0
tvr_parlemen,2025-04-11T04:44:42.000Z,MAU #KABURAJADULU KE MANA PUN TETAP HARUS LEGAL!! - Sudut Dengar Parlemen,"MAU, #, KABURAJADULU, KE, MANA, PUN, TETAP, HARUS, LEGAL, !, !, -, Sudut, Dengar, Parlemen","#, KABURAJADULU, LEGAL, !, !, -, Sudut, Dengar, Parlemen",mau kaburajadulu ke mana pun tetap harus legal - sudut dengar parlemen,"mau,kaburajadulu,ke,mana,pun,tetap,harus,legal,-,sudut,dengar,parlemen",0
HadiJuventino86,2025-04-11T04:34:46.000Z,"Kalau niatnyq #KaburAjaDulu yang gas kan. Gaji nomer dua dulu, kalau sudah dpt experience diluar negeri, biasanya kedepannya mudah untuk next job nya. Yang penting kerja luar negeri dulu aja.","Kalau, niatnyq, #, KaburAjaDulu, yang, gas, kan., Gaji, nomer, dua, dulu, ,, kalau, sudah, dpt, experience, diluar, negeri, ,, biasanya, kedepannya, mudah, untuk, next, job, nya, ., Yang, penting, kerja, luar, negeri, dulu, aja, .","niatnyq, #, KaburAjaDulu, gas, kan., Gaji, nomer, ,, dpt, experience, diluar, negeri, ,, kedepannya, mudah, next, job, nya, ., kerja, negeri, aja, .",kalau niatnyq kaburajadulu yang gas kan gaji nomer dua dulu kalau sudah dpt experience luar negeri biasa depan mudah untuk next job nya yang penting kerja luar negeri dulu aja,"kalau,niatnyq,kaburajadulu,yang,gas,kan,gaji,nomer,dua,dulu,kalau,sudah,dpt,experience,luar,negeri,biasa,depan,mudah,untuk,next,job,nya,yang,penting,kerja,luar,negeri,dulu,aja",0
kafir_introver,2025-04-11T04:25:54.000Z,"kerenn, stay safee lailll   mutual pertama yang berhasil #KaburAjaDulu kayaknya","kerenn, ,, stay, safee, lailll, mutual, pertama, yang, berhasil, #, KaburAjaDulu, kayaknya","kerenn, ,, stay, safee, lailll, mutual, berhasil, #, KaburAjaDulu, kayaknya",kerenn stay safee lailll mutual pertama yang hasil kaburajadulu kayak,"kerenn,stay,safee,lailll,mutual,pertama,yang,hasil,kaburajadulu,kayak",1
2304dotorii,2025-04-11T03:46:32.000Z,Bang menang buka loker gak? Gua mau #KaburAjaDulu ke thai kerja jadi pegawai lu bang tolong bgttt ini mah   @winmetawin,"Bang, menang, buka, loker, gak, ?, Gua, mau, #, KaburAjaDulu, ke, thai, kerja, jadi, pegawai, lu, bang, tolong, bgttt, ini, mah, @, winmetawin","Bang, menang, buka, loker, gak, ?, Gua, #, KaburAjaDulu, thai, kerja, pegawai, lu, bang, tolong, bgttt, mah, @, winmetawin",bang menang buka loker gak gua mau kaburajadulu ke thai kerja jadi pegawai lu bang tolong bgttt ini mah winmetawin,"bang,menang,buka,loker,gak,gua,mau,kaburajadulu,ke,thai,kerja,jadi,pegawai,lu,bang,tolong,bgttt,ini,mah,winmetawin",0
lilbeannyyy,2025-04-11T03:30:09.000Z,"Haloo, sisa buku A2 Netzwerk Neu, yang mau langsung ambil dehh.... 70k ambil 2 langsung dm, bisa Oren, dari Jakarta  #wtb #ausbildung #fsj #KaburAjaDulu #zonauang #zonajajan","Haloo, ,, sisa, buku, A2, Netzwerk, Neu, ,, yang, mau, langsung, ambil, dehh, ...., 70k, ambil, 2, langsung, dm, ,, bisa, Oren, ,, dari, Jakarta, #, wtb, #, ausbildung, #, fsj, #, KaburAjaDulu, #, zonauang, #, zonajajan","Haloo, ,, sisa, buku, A2, Netzwerk, Neu, ,, langsung, ambil, dehh, ...., 70k, ambil, 2, langsung, dm, ,, Oren, ,, Jakarta, #, wtb, #, ausbildung, #, fsj, #, KaburAjaDulu, #, zonauang, #, zonajajan",haloo sisa buku a2 netzwerk neu yang mau langsung ambil dehh 70k ambil 2 langsung dm bisa oren dari jakarta wtb ausbildung fsj kaburajadulu zonauang zonajajan,"haloo,sisa,buku,a2,netzwerk,neu,yang,mau,langsung,ambil,dehh,70k,ambil,2,langsung,dm,bisa,oren,dari,jakarta,wtb,ausbildung,fsj,kaburajadulu,zonauang,zonajajan",0
sarangryu_,2025-04-11T03:29:04.000Z,"morning, nenek! hng .... agak gelap yh  tapi aku pengen #kaburajadulu. jadi jangan plis?","morning, ,, nenek, !, hng, ...., agak, gelap, yh, tapi, aku, pengen, #, kaburajadulu, ., jadi, jangan, plis, ?","morning, ,, nenek, !, hng, ...., gelap, yh, pengen, #, kaburajadulu, ., plis, ?",morning nenek hng agak gelap yh tapi aku ken kaburajadulu jadi jangan plis,"morning,nenek,hng,agak,gelap,yh,tapi,aku,ken,kaburajadulu,jadi,jangan,plis",0
