text,label_knn
"saya siap melewati masa-masa resah di Indonesia, bahkan ketika semuanya terasa bubar",Negatif
wkkw aduh malu lagi aku kalo keinget   HAYUKKK!! semoga betulan bisa ya kita # kaburajadulu ,positif
"saya siap melewati masa-masa resah di Indonesia, bahkan ketika semuanya terasa bubar",Negatif
"Saya ingin kabur aja dulu juga, namun saya disini terhalang biaya",positif
